flow_type,producer_app_id,producer_app_name,producer_neighborhood,producer_queue_manager,producer_queue_name,producer_queue_type,transmit_queue_name,channel_name,consumer_app_id,consumer_app_name,consumer_neighborhood,consumer_queue_manager,consumer_queue_name,consumer_queue_type
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL21,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL21,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL22,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL22,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL23,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL23,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL24,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL24,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL25,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL25,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL26,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL26,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL27,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL27,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL28,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL28,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL29,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL29,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL30,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL30,Local
